Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0431794484882817,-0.000474126376851507,0.418607909679513,0,0,0,1.51039036009517,0.00479942020686924,-1.53952764705595E-06,-0.000447302359251063,0.00341270485686284,-2.7694193258526E-06,0.00294705858326872,0,0,0,0,0,0,package://Humanoid_V3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Humanoid_V3/meshes/base_link.STL,,chest-1;raspberry_p4b_v001-1;Back-1;4 Battery Holder With Batteries.step-1;MX-106-3;MX-106-5;MX-106-2;MX-106-4,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_Upper Shoulder_link,-3.46944695195361E-18,-0.0155156048759658,-7.21644966006352E-16,0,0,0,0.0623876643494411,2.27108792085224E-05,7.39334846754752E-21,-3.44731761197701E-21,3.90809536959519E-05,-1.53755655815756E-21,4.97719837636778E-05,0,0,0,0,0,0,package://Humanoid_V3/meshes/Left_Upper Shoulder_link.STL,1,1,1,1,0,0,0,0,0,0,package://Humanoid_V3/meshes/Left_Upper Shoulder_link.STL,,right_upper_shoulder-1,Rot_Right_Shoulder_Coordinate System,Rot_Right_Shoulder_Axis,Left_Upper Shoulder_Joint,revolute,0.045,-0.0862,0.48279,0,0,0,base_link,0,-1,0,8.4,4.712,-3.14,3.14,,,,,,,,
Left_Mid_Shoulder_Link,0.0264662969429448,4.09537062595611E-08,-0.0440571522217455,0,0,0,0.154300552543257,7.07637535997255E-05,-5.19855697944797E-13,-2.88599141150469E-07,9.89041124781951E-05,2.76937890171708E-10,6.2961859669379E-05,0,0,0,0,0,0,package://Humanoid_V3/meshes/Left_Mid_Shoulder_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_V3/meshes/Left_Mid_Shoulder_Link.STL,,MX-64-1;right_mid_shoulder-1;right_lower_shoulder-1,Right_upper_shoulder_Coordinate System,Right_upper_Shoulder_Axis,Left_Mid_Shoulder_Joint,revolute,-0.026,-0.0345,0,0,0,0,Left_Upper Shoulder_link,1,0,0,6,6.59,-3.14,3.14,,,,,,,,
Left_Lower_Shoulder Link,0.0250664390388209,-0.00638333415263484,-0.0372443138205451,0,0,0,0.116130359952787,0.000106554804819096,-5.19855704836473E-13,2.8859914115054E-07,0.000115041924032447,5.75846158471286E-06,2.6449480887795E-05,0,0,0,0,0,0,package://Humanoid_V3/meshes/Left_Lower_Shoulder Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_V3/meshes/Left_Lower_Shoulder Link.STL,,MX-64-4;right_hand-1,Right_Lower_Shoulder_Coordinate System,Right_Lower_shoulder_axis,Left_Lower_Shoulder_Joint,revolute,0.00230000000000036,0,-0.111599999999999,0,0,0,Left_Mid_Shoulder_Link,1,0,0,6,6.59,-3.14,3.14,,,,,,,,
Right_Upper_Shoulder_Link,-1.21430643318376E-17,0.015515604875966,-7.49400541621981E-16,0,0,0,0.0623876643494411,2.27108792085224E-05,-1.28155332543922E-20,-1.24135449919456E-20,3.90809536959519E-05,-1.95476644554543E-22,4.97719837636778E-05,0,0,0,0,0,0,package://Humanoid_V3/meshes/Right_Upper_Shoulder_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Humanoid_V3/meshes/Right_Upper_Shoulder_Link.STL,,left_upper_shoulder-1,Rot_Left_ShoulderCoordinate System,Rot_Left_Shoulder_Axis,Right_Upper_Shoulder_Joint,revolute,0.045,0.0862000000000002,0.482793745640598,0,0,0,base_link,0,1,0,8.4,4.712,-3.14,3.14,,,,,,,,
Right_Mid_Shoulder_link,0.0264662969429444,4.09537060375165E-08,-0.044057152221746,0,0,0,0.154300552543257,7.07637535997256E-05,-5.19855694633109E-13,-2.88599141150464E-07,9.89041124781952E-05,2.76937890187698E-10,6.29618596693791E-05,0,0,0,0,0,0,package://Humanoid_V3/meshes/Right_Mid_Shoulder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_V3/meshes/Right_Mid_Shoulder_link.STL,,MX-64-2;left_mid_shoulder-1;left_lower_shoulder-2,Left_Upper_shoulder_Coordinate System,Left_Upper_shoulder_Axis,Right_Mid_Shoulder_Joint,revolute,-0.026,0.0345,0,0,0,0,Right_Upper_Shoulder_Link,1,0,0,6,6.59,-3.14,3.14,,,,,,,,
Right_Lower_Shoulder_link,0.0250664390388211,0.00638333374995644,-0.0372443138205444,0,0,0,0.116130359952787,0.000106554804819096,-5.19855699251492E-13,2.88599141150526E-07,0.000115041924032448,-5.75845724996921E-06,2.64494808877951E-05,0,0,0,0,0,0,package://Humanoid_V3/meshes/Right_Lower_Shoulder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_V3/meshes/Right_Lower_Shoulder_link.STL,,MX-64-3;left_hand-5,Left_Lower_Shouder_Coordinate System,Left_Lower_Shouder_Axis,Right_Lower_Shoulder_joint,revolute,0.00230000000000011,0,-0.1116,0,0,0,Right_Mid_Shoulder_link,1,0,0,6,6.59,-3.14,3.14,,,,,,,,
Right_Hip_Link,-1.90819582357449E-17,8.5868812060852E-17,-0.0108026519831324,0,0,0,0.0642422648022387,4.229626009049E-05,-2.85610366578733E-21,-1.1809768368682E-20,1.91108022562779E-05,-6.6452799051975E-21,4.09654383516233E-05,0,0,0,0,0,0,package://Humanoid_V3/meshes/Right_Hip_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Humanoid_V3/meshes/Right_Hip_Link.STL,,left_hip-2,Right_Rot_Hip_Coordinate System,Right_Rot_Hip_Axis,Right_Hip_Joint,revolute,0.045,0.0576361191366068,0.323180000000002,0,0,0,base_link,0,0,1,8.4,4.712,-3.14,3.14,,,,,,,,
Right_Thigh_Link,0.000423342095901284,-0.026447064925249,-0.0636339184538543,0,0,0,0.329164377734902,0.000243462631907648,2.02833424750188E-07,4.17202887012631E-06,0.000198542286401605,-4.45660040213608E-06,0.000113461408846216,0,0,0,0,0,0,package://Humanoid_V3/meshes/Right_Thigh_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_V3/meshes/Right_Thigh_Link.STL,,MX-64-5;left_thight-1,Left_Hip_Coordinate System,Left_Hip_Axis,Right_Thigh_Joint,fixed,0,0.026,-0.025,0,0,0,Right_Hip_Link,0,0,0,6,6.59,-3.14,3.14,,,,,,,,
Right_Calf_Link,-3.34420367410423E-07,-0.026027708615202,-0.0719996537867291,0,0,0,0.278454532534902,0.000388064654467613,5.19855683036761E-13,5.41021302044064E-09,0.00033610996778635,-2.88599141150599E-07,0.00014525331851066,0,0,0,0,0,0,package://Humanoid_V3/meshes/Right_Calf_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_V3/meshes/Right_Calf_Link.STL,,MX-64-8;left_calf-2,Left_thigh_Coordinate System,Left_thigh_Axis,Right_Calf_Joint,revolute,0.002,-0.002,-0.12045,0,0,0,Right_Thigh_Link,0,-1,0,6,6.59,-3.14,3.14,,,,,,,,
